model,seed,device,trainable_parameters,optimization_steps,best_validation_mse,best_validation_step,training_seconds,validation_mse,validation_rmse_radians,validation_relative_rmse_2pi,validation_sun_rmse_radians,validation_mars_rmse_radians,test_mse,test_rmse_radians,test_relative_rmse_2pi,test_sun_rmse_radians,test_mars_rmse_radians,heliocentric_to_latent_r2,heliocentric_to_latent_r2_per_dimension,geocentric_to_latent_r2,geocentric_to_latent_r2_per_dimension,latent_to_heliocentric_r2,latent_to_heliocentric_r2_per_angle,latent_to_heliocentric_rmse_radians,test_branch_heliocentric_to_latent_r2,test_branch_latent_to_heliocentric_r2,learned_latent_delta,heliocentric_fit_expected_delta,latent_delta_relative_error,latent_delta_cosine_similarity,heliocentric_fit_coefficients
reservoir,0,cuda,606,15000,0.13036192953586578,15000,289.71108011202887,0.12798818945884705,0.35775437028616025,0.056938376443770686,0.21961916983127594,0.455789178609848,0.12900206446647644,0.3591685738848493,0.0571634539370404,0.21942737698554993,0.4581001400947571,0.9863628351853239,"[0.9936613701971214, 0.9798065656158518]",0.9606414749802888,"[0.9758584966576078, 0.9469720336472353]",0.987645588319973,"[0.9957255460027756, 0.9793620516002735]",0.1999360165723787,0.6332804847794461,0.6685999901197619,"[-0.007232171017676592, -0.01778978668153286]","[-0.007134259345045874, -0.01750206752555315]",0.016080340582763385,0.999999559751973,"[[-0.09980795564157495, -0.08248193614694027], [0.07641887713633025, -0.11813057743244285], [-0.16387545533832962, 0.42055467321483975]]"
reservoir,1,cuda,606,15000,0.12485559284687042,15000,287.9357332298532,0.1227869912981987,0.3504097477214335,0.055769443457450156,0.22870706021785736,0.4396215081214905,0.1239028126001358,0.35199831334842474,0.05602227152941169,0.2269953042268753,0.4430335760116577,0.984499509227452,"[0.9961717366681304, 0.9764849711120852]",0.9572707623861788,"[0.9858535869818875, 0.937644847938282]",0.9862046093455363,"[0.9960757400211666, 0.9768494674343954]",0.21653079270400877,0.5989798305716658,0.6531808901588814,"[-0.007565836887806654, -0.011511427350342274]","[-0.007644469371635474, -0.011059304256662537]",0.03413445687198384,0.9997271700751111,"[[-0.08837658685478456, -0.036378600042001094], [0.04693428451365081, -0.10427085721347437], [-0.0822763400853582, 0.3399655673701881]]"
reservoir,2,cuda,606,15000,0.13549451529979706,15000,289.187626728788,0.1331714689731598,0.3649266624585819,0.058079882196310904,0.22971203923225403,0.46214210987091064,0.13362330198287964,0.36554521195452644,0.05817832740613747,0.22951948642730713,0.4632141888141632,0.9857266891728346,"[0.9843935170475975, 0.9881006071714666]",0.9551483024464333,"[0.9401407714058576, 0.981871519484831]",0.9864366382038202,"[0.9935266199483945, 0.9798979400019439]",0.2258214748741423,0.6079701247383524,0.6486930152876402,"[0.0026535713113844395, 0.014912988990545273]","[0.0026485698702074403, 0.0147145053000129]",0.013279851188211263,0.9999980121202111,"[[-0.04574677010478167, 0.10096666286393774], [0.1274708592824806, 0.03979960262045347], [-0.3795589367302744, -0.20108952487700804]]"
reservoir,3,cuda,606,15000,0.13730064034461975,15000,289.70835249405354,0.13562694191932678,0.36827563307844136,0.058612887424731065,0.2593550980091095,0.4516511857509613,0.136231929063797,0.3690960973294042,0.05874346836590199,0.2572171688079834,0.45420604944229126,0.9831666540005696,"[0.9915410653186043, 0.9773466789555224]",0.9533514565092138,"[0.978708671956511, 0.9357289209648542]",0.9868343499013874,"[0.9961081578712409, 0.9771476188461774]",0.21632695461448384,0.6111672647766418,0.699796259853922,"[0.008835311979055405, 0.010731007903814316]","[0.008729787654590499, 0.01081573839281114]",0.009736604832711186,0.9999526109266055,"[[0.10506280895274414, 0.01270084490876714], [-0.061387939515047965, 0.1450312428186882], [0.11528207445809358, -0.46385856603042364]]"
reservoir,4,cuda,606,15000,0.13558298349380493,15000,288.5783231561072,0.13328790664672852,0.36508616331864524,0.05810526754661739,0.22311735153198242,0.46561193466186523,0.1345648169517517,0.36683077427030536,0.05838293100334636,0.22283044457435608,0.4684828817844391,0.9836489531247775,"[0.99370738849123, 0.9745858947742304]",0.9537111232470242,"[0.9813174704920485, 0.9288366843495399]",0.984972265064476,"[0.9951201608190976, 0.9729902606521139]",0.22455441854940444,0.6396098019134624,0.6713646765142162,"[-0.010504971258342266, 0.01751006208360195]","[-0.010393613146888307, 0.016987774526623207]",0.026815168535304783,0.9999621785684184,"[[-0.12397151830979225, 0.06755419734555712], [0.07098864913103661, 0.13819363270844393], [-0.12281932155299193, -0.4445541236046537]]"
scinet,0,cuda,21408,15000,1.2565127611160278,15000,36.658970065414906,1.2731209993362427,1.128326636810566,0.17957876167065528,1.1376957893371582,1.1188790798187256,1.260388970375061,1.12267046383837,0.17867855378314754,1.1317447423934937,1.1135221719741821,0.8108351775851155,"[0.9880485098287911, 0.7773248890271953]",0.8261484835870141,"[0.9711248168813389, 0.798734075426407]",0.8904452913518058,"[0.890591540441461, 0.8902953659586572]",0.5953817589476892,0.4862742846715402,0.5883797677668128,"[0.02428657002747059, -0.9525036215782166]","[0.007563922214283533, -0.05511919190522861]",16.132432879516195,0.9938585902545564,"[[0.13846470998550914, -0.31680320884561797], [-0.1424650402130997, -0.26466515554849274], [-0.11702939274259397, 1.8258490919995505]]"
scinet,1,cuda,21408,15000,1.2645376920700073,15000,36.46998900081962,1.2799170017242432,1.1313341689015863,0.18005742526944868,1.230776309967041,1.0222641229629517,1.2655404806137085,1.1249624352011531,0.17904333235495953,1.2223669290542603,1.0182828903198242,0.9291696437669211,"[0.9401311293667542, 0.9248344002133471]",0.9406461528910823,"[0.9447021397035212, 0.9390420200506987]",0.9488099031317424,"[0.9473920720918847, 0.950153620586181]",0.4171052343007718,0.7230610711755627,0.6156031921728671,"[0.4759420156478882, -0.8295587301254272]","[0.029921656178201462, -0.048118590522911]",15.879268722443795,0.9993721063287677,"[[0.23533392676883277, -0.2937935124877869], [0.024429592498138086, -0.19862693944375254], [-0.7873681701737256, 1.5448029403563752]]"
scinet,2,cuda,21408,15000,1.3744595050811768,15000,36.4886300121434,1.3929914236068726,1.1802505766178946,0.18784271335579766,1.2644890546798706,1.0895183086395264,1.378393530845642,1.1740500546593582,0.18685586963634676,1.2566170692443848,1.0852190256118774,0.9189814539367184,"[0.9383415538644873, 0.9023873674716701]",0.9301460666469271,"[0.9367039919970427, 0.9245250842812802]",0.9443959743854264,"[0.9350561783072163, 0.9530095472899848]",0.4572299640241285,0.5604722186556379,0.64462252117087,"[1.1626003980636597, 1.7314131259918213]","[0.019095892973521843, 0.034739325531111295]",51.61332379121363,0.9960671915823011,"[[0.038226205400309465, 0.2175719241428247], [0.22632056313485485, 0.1331094729407386], [-0.763811022571843, -1.152276049416144]]"
scinet,3,cuda,21408,15000,1.1593960523605347,15000,36.4687164882198,1.171616554260254,1.0824123771743623,0.1722712802911488,1.1713508367538452,0.9854797720909119,1.1580172777175903,1.0761121120578423,0.1712685619550652,1.1623929738998413,0.9822814464569092,0.8275398129200515,"[0.9533816629069358, 0.8241893908018924]",0.8557919552496331,"[0.9445931811112364, 0.8534277061075818]",0.9021038724381004,"[0.8874395106059918, 0.9174211672049342]",0.5898916362026227,0.5792538798748661,0.6098380169347128,"[-0.0373808778822422, -0.6176770925521851]","[-0.001836186184544087, -0.05615739157157759]",10.013696231665921,0.9996147026640472,"[[0.023038566133854174, -0.3427325206206347], [-0.07204194232652474, -0.23207878278462557], [0.1643945482470489, 1.775183649556858]]"
scinet,4,cuda,21408,15000,1.2142466306686401,15000,36.4273730898276,1.2278105020523071,1.1080661090622288,0.17635419852985693,1.2061890363693237,1.0003644227981567,1.2127821445465088,1.1012638850641152,0.17527159095653883,1.198357343673706,0.9947381019592285,0.795514565124212,"[0.9804684563599783, 0.7880726102408481]",0.8146090602958723,"[0.9405818509807992, 0.8095403155386288]",0.8818143645482289,"[0.8688104825139659, 0.8971685400029202]",0.6297340686316297,0.54936729671678,0.5898108756538297,"[-0.002167950849980116, 0.789454996585846]","[-0.0022387453183887068, 0.05763497000897009]",12.687931680294419,0.9993492595920818,"[[-0.05861853193484652, 0.35495982575340146], [0.07536005542044716, 0.23214430584751125], [-0.06133275618901194, -1.8415817744936966]]"
